Config_Name,Voxel_File,Expected_E1,Num_Faces,Density,real_E1
config_0,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.1858,4,0.115288,0.185072077
config_10,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.4847,14,0.370496,0.388825772
config_11,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5245,16,0.402208,0.465811081
config_12,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5731,20,0.51232,0.654865628
config_13,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5926,14,0.315712,0.787323451
config_14,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.6196,12,0.28544,0.814540343
config_15,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5259,10,0.185616,0.534630438
config_17,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5667,20,0.51232,0.654865628
config_19,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5818,12,0.40864,0.641084735
config_2,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.4331,6,0.185248,0.573182039
config_20,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5481,13,0.330208,0.569331591
config_21,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5594,15,0.359824,0.574383517
config_22,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5688,20,0.51232,0.654865628
config_23,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5626,13,0.356368,0.634137596
config_28,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5202,11,0.329488,0.517113526
config_32,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.4118,8,0.187088,0.423173122
config_33,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5729,11,0.324704,0.570532856
config_37,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5998,9,0.269248,0.597004085
config_38,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.4674,13,0.301632,0.461034205
config_39,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5612,8,0.251216,0.553922412
config_40,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.6448,10,0.315032,0.658606782
config_41,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.6304,12,0.342576,0.633366787
config_42,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.4227,12,0.285056,0.422396334
config_43,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.6432,9,0.236792,0.639477416
config_44,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5848,5,0.168656,0.58411201
config_45,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.6542,9,0.203296,0.658286886
config_46,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5354,13,0.357736,0.532195445
config_47,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.4686,9,0.29952,0.473734509
config_48,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5929,9,0.265704,0.603177394
config_49,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.5416,10,0.251968,0.523905819
config_5,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.7452,9,0.268888,0.756141603
config_50,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.6095,11,0.300264,0.609950229
config_51,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.6557,10,0.34604,0.656348469
config_9,gold_standard_voxels_for_fem\all_gold_standard_voxels.h5,0.921,5,0.172,0.98
