face_id,importance_e1,importance_ani,x_projection,normal_x,normal_y,normal_z
1,0.01932083268173078,0.04574729550086251,0.0,0.0,0.0,1.0
2,0.05076717743346113,0.05495050075168541,0.0,0.0,1.0,0.0
3,0.04595248008115755,0.05691968116601723,0.0,0.0,0.7071099877357483,-0.7071099877357483
4,0.04359430128389416,0.05839508349643383,0.7071099877357483,-0.7071099877357483,0.7071099877357483,0.0
5,0.05949762844759327,0.0706528649704523,0.5773500204086304,-0.5773500204086304,0.5773500204086304,0.5773500204086304
6,0.05065839247003767,0.06541753125949003,0.5773500204086304,-0.5773500204086304,0.5773500204086304,-0.5773500204086304
7,0.018506770242467486,0.04327706009584992,1.0,1.0,0.0,0.0
8,0.10556654719264301,0.017011027437880518,0.7071099877357483,-0.7071099877357483,0.0,0.7071099877357483
9,0.0513587180811763,0.05301011948744063,0.5773500204086304,0.5773500204086304,0.5773500204086304,-0.5773500204086304
10,0.13217455835324912,0.045530396009808,0.7071099877357483,0.7071099877357483,0.0,0.7071099877357483
11,0.02409386729794037,0.02578621228729545,1.0,1.0,0.0,0.0
12,0.04049278841724061,0.04053127439622307,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304
13,0.03877473942692174,0.044497863203574683,0.7071099877357483,0.7071099877357483,0.7071099877357483,0.0
14,0.05893108108522005,0.06306047249714308,0.5773500204086304,-0.5773500204086304,-0.5773500204086304,0.5773500204086304
15,0.05772379404540843,0.056784250961152416,0.5773500204086304,0.5773500204086304,-0.5773500204086304,0.5773500204086304
16,0.028725233682350984,0.05788190170691923,0.0,0.0,0.7071099877357483,0.7071099877357483
17,0.03473892112145765,0.03712626716995689,0.0,0.0,1.0,0.0
18,0.054412479174234064,0.06371653870985147,0.5773500204086304,0.5773500204086304,0.5773500204086304,0.5773500204086304
19,0.05989614915567316,0.062394350808831316,0.5773500204086304,0.5773500204086304,-0.5773500204086304,-0.5773500204086304
20,0.024813540326142584,0.037309308083132015,0.0,0.0,0.0,1.0
